PIC;URAIAN KEGIATAN/ PROGRAM;;;;Juni;;;;Juli;;;;Agustus;;;;September;;;;Oktober;;;;November;;;;Desember;;;;Januari;;;;Februari;;;;Maret;;;;PIC;Catatan;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaksanaan Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDRI;;;KHDTK Gunung Geulish ITB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INDRI;;;;;;;;;;;;;;;
;;;Penjajakan Lahan;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Survey Lahan;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pre FS;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaksanaan Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARIEF;Proyek Kwatisore-Papua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ARIEF;;;;;;;;;;;;;;;
;;1);Community Development;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;;a);Dukungan Pemberdayaan Masyarakat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pembelian Peralatan pendukung kegiatan mintoring Hiu Paus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pengiriman Alat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Serah terima alat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;2);Biodiversity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;a);Pengelolaan Operasional Whale Shark Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
