PIC;URAIAN KEGIATAN/ PROGRAM;;;;Juni;;;;Juli;;;;Agustus;;;;September;;;;Oktober;;;;November;;;;Desember;;;;Januari;;;;Februari;;;;Maret;;;;PIC;Catatan;;;;;;;;;;;;;;
;;;;Pelatihan Pengolahan Lebah Trigona;;;;;;;;;;;;;;;;;;;;;;;;;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pemasangan Rumah Lebah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pelatihan Pemanenan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;b);Agri-PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Survey Lokasi AgriPV;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pemasangan AgriPV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pelatihan Penggunaan dan Monitoring PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;c);Program Pertanian High Velue (Nilam, Kaliandra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Survey Lahan;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Persiapan Bibit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Penanaman Tanaman High Velue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;3);Biodiversity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;a);Modul Pembelajaran Kehati untuk Muatan Lokal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;FGD dengan Pakar;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Design Modul;;;;;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Uji Coba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Validasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Distribusi Modul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;b);Konservasi Burung Endemik KHDTK UGM ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Pembangunan Aviary;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Birdbanding;;;;;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Edukasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Lounching;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;4);MRV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANTA;Proyek Hutan Pertamina Mahakam Fase-3 P1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DANTA;;;;;;;;;;;;;;;
 ; ;1);Climate (74.000 bibit + 5% buffer);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Term Of Reference;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Proposal;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Negosiasi Kerja sama;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Kontrak;;;;;;;;;;;;;;;;;;;;;0,082%;0,082%;0,082%;0,082%;0,082%;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Persiapan Ajir;;;;;;;;;;;;;;;;;;;;;;;;;;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pengakutan Bibit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penanaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Inventarisasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pelaporan Mitra ke PF;;;;;;;;;;;;;;;;;;;;;;;;;;0,082%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Penyelesaian administrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;2);Comunity Development;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
